player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Ishant Sharma,DC,https://scores.iplt20.com/ipl/playerimages/Ishant Sharma.png?v=1,13,13, 13, 46,349,5/12,26.84,7.58, 21.23 ,0,0
Bhuvneshwar Kumar,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,15, 15, 59,461,5/19,35.46,7.81, 27.23 ,0,0
Krunal Pandya,MI,https://scores.iplt20.com/ipl/playerimages/Krunal Pandya.png?v=1,12,16, 16, 46,335,3/14,27.91,7.28, 23.00 ,0,0
Sandeep Sharma,SRH,https://scores.iplt20.com/ipl/playerimages/Sandeep Sharma.png?v=1,12,11, 11, 42,352,4/20,29.33,8.25, 21.33 ,0,0
Dwayne Bravo,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,11,12, 12, 41,330,4/22,30.00,8.01, 22.45 ,0,0
Amit Mishra,DC,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png?v=1,11,11, 11, 40,270,5/17,24.54,6.75, 21.81 ,0,0
Andre Russell,KKR,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png?v=1,11,14, 12, 30,287,5/15,26.09,9.51, 16.45 ,0,0
Navdeep Saini,RCB,https://scores.iplt20.com/ipl/playerimages/Navdeep Saini.png?v=1,11,13, 13, 48,397,2/24,36.09,8.27, 26.18 ,0,0
Jofra Archer,RR,https://scores.iplt20.com/ipl/playerimages/Jofra Archer.png?v=1,11,11, 11, 43,291,3/15,26.45,6.76, 23.45 ,0,0
Sam Curran,PBKS,https://scores.iplt20.com/ipl/playerimages/Sam Curran.png?v=1,10,9, 9, 33,323,4/11,32.30,9.78, 19.80 ,1,0
Axar Patel,DC,https://scores.iplt20.com/ipl/playerimages/Axar Patel.png?v=1,10,14, 14, 51,364,4/21,36.40,7.13, 30.60 ,0,0
Piyush Chawla,KKR,https://scores.iplt20.com/ipl/playerimages/Piyush Chawla.png?v=1,10,13, 13, 44,399,4/17,39.90,8.96, 26.70 ,0,0
Sunil Narine,KKR,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png?v=1,10,12, 12, 44,347,5/19,34.70,7.82, 26.60 ,0,0
Jaydev Unadkat,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,10,11, 11, 37,398,5/25,39.80,10.66, 22.40 ,0,0
Keemo Paul,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,9,8, 8, 27,237,3/17,26.33,8.72, 18.11 ,0,0
Shardul Thakur,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,10, 9, 30,281,3/19,35.12,9.36, 22.50 ,0,0
Mohammad Nabi,SRH,https://scores.iplt20.com/ipl/playerimages/Mohammad Nabi.png?v=1,8,8, 8, 29,194,4/11,24.25,6.65, 21.87 ,1,0
Umesh Yadav,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,11, 11, 38,371,4/24,46.37,9.80, 28.37 ,0,0
Sandeep Lamichhane,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,8,6, 6, 23,210,3/36,26.25,9.13, 17.25 ,0,0
Mohammed Siraj,RCB,https://scores.iplt20.com/ipl/playerimages/Mohammed Siraj.png?v=1,7,9, 9, 28,269,4/32,38.42,9.55, 24.14 ,0,0
Harry Gurney,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,8, 8, 27,238,2/25,34.00,8.81, 23.14 ,0,0
Hardus Viljoen,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,7,6, 6, 23,222,2/39,31.71,9.65, 19.71 ,0,0
Siddarth Kaul,SRH,https://scores.iplt20.com/ipl/playerimages/Siddarth Kaul.png?v=1,6,7, 7, 27,242,4/29,40.33,8.96, 27.00 ,0,0
