player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Shivam Dube,RCB,https://scores.iplt20.com/ipl/playerimages/Shivam Dube.png?v=1,129,11,9,2,27*,18.42,105,122.85,0,0,5,9
Sunil Narine,KKR,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png?v=1,121,10,9,0,64,13.44,85,142.35,0,1,10,8
Andre Russell,KKR,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png?v=1,117,10,9,0,25,13.00,81,144.44,0,0,9,9
Axar Patel,DC,https://scores.iplt20.com/ipl/playerimages/Axar Patel.png?v=1,117,15,9,1,42,14.62,85,137.64,0,0,6,8
Ajinkya Rahane,DC,https://scores.iplt20.com/ipl/playerimages/Ajinkya Rahane.png?v=1,113,9,8,0,60,14.12,107,105.60,0,1,12,2
Jofra Archer,RR,https://scores.iplt20.com/ipl/playerimages/Jofra Archer.png?v=1,113,14,10,4,27*,18.83,63,179.36,0,0,5,10
Abdul Samad,SRH,https://scores.iplt20.com/ipl/playerimages/Abdul Samad.png?v=1,111,12,8,3,33,22.20,65,170.76,0,0,8,6
Washington Sundar,RCB,https://scores.iplt20.com/ipl/playerimages/Washington Sundar.png?v=1,111,15,9,3,30,18.50,95,116.84,0,0,10,2
Krunal Pandya,MI,https://scores.iplt20.com/ipl/playerimages/Krunal Pandya.png?v=1,109,16,12,6,34,18.16,92,118.47,0,0,9,5
Glenn Maxwell,PBKS,https://scores.iplt20.com/ipl/playerimages/Glenn Maxwell.png?v=1,108,13,11,4,32,15.42,106,101.88,0,0,9,0
Saurabh Tiwary,MI,https://scores.iplt20.com/ipl/playerimages/Saurabh Tiwary.png?v=1,103,7,5,0,42,20.60,80,128.75,0,0,8,3
Deepak Hooda,PBKS,https://scores.iplt20.com/ipl/playerimages/Deepak Hooda.png?v=1,101,7,5,4,62*,101.00,71,142.25,0,1,5,5
Vijay Shankar,SRH,https://scores.iplt20.com/ipl/playerimages/Vijay Shankar.png?v=1,97,7,5,1,52*,24.25,96,101.04,0,1,10,1
Riyan Parag,RR,https://scores.iplt20.com/ipl/playerimages/Riyan Parag.png?v=1,86,12,8,1,42*,12.28,77,111.68,0,0,6,3
Tom Curran,RR,https://scores.iplt20.com/ipl/playerimages/Tom Curran.png?v=1,83,5,4,3,54*,83.00,62,133.87,0,1,5,3
Josh Philippe,RCB,https://scores.iplt20.com/ipl/playerimages/Josh Philippe.png?v=1,78,5,5,1,33,19.50,77,101.29,0,0,9,1
Abhishek Sharma,SRH,https://scores.iplt20.com/ipl/playerimages/Abhishek Sharma.png?v=1,71,8,7,2,31,14.20,56,126.78,0,0,6,3
Gurkeerat Mann Singh,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,71,8,5,5,21*,0.00,80,88.75,0,0,8,0
Jason Holder,SRH,https://scores.iplt20.com/ipl/playerimages/Jason Holder.png?v=1,66,7,4,2,26*,33.00,53,124.52,0,0,5,3
Kedar Jadhav,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,62,8,5,2,26,20.66,66,93.93,0,0,7,0
Mahipal Lomror,RR,https://scores.iplt20.com/ipl/playerimages/Mahipal Lomror.png?v=1,59,3,3,0,47,19.66,54,109.25,0,0,2,3
Kagiso Rabada,DC,https://scores.iplt20.com/ipl/playerimages/Kagiso Rabada.png?v=1,56,17,8,4,15*,14.00,49,114.28,0,0,4,2
Lockie Ferguson,KKR,https://scores.iplt20.com/ipl/playerimages/Lockie Ferguson.png?v=1,43,5,2,2,24*,0.00,29,148.27,0,0,4,1
Krishnappa Gowtham,PBKS,https://scores.iplt20.com/ipl/playerimages/Krishnappa Gowtham.png?v=1,42,2,2,1,22*,42.00,27,155.55,0,0,3,2
Yashasvi Jaiswal,RR,https://scores.iplt20.com/ipl/playerimages/Yashasvi Jaiswal.png?v=1,40,3,3,0,34,13.33,44,90.90,0,0,2,2
Shreyas Gopal,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,37,14,5,1,23*,9.25,39,94.87,0,0,3,0
Ravichandran Ashwin,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,37,15,6,3,14*,12.33,34,108.82,0,0,3,1
Rashid Khan,SRH,https://scores.iplt20.com/ipl/playerimages/Rashid Khan.png?v=1,35,16,7,3,14,8.75,30,116.66,0,0,3,2
Chris Morris,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,34,9,5,1,25*,8.50,21,161.90,0,0,2,3
Narayan Jagadeesan,CSK,https://scores.iplt20.com/ipl/playerimages/Narayan Jagadeesan.png?v=1,33,5,2,0,33,16.50,29,113.79,0,0,4,0
Sarfaraz Khan,PBKS,https://scores.iplt20.com/ipl/playerimages/Sarfaraz Khan.png?v=1,33,5,3,1,14*,16.50,29,113.79,0,0,5,0
Alex Carey,DC,https://scores.iplt20.com/ipl/playerimages/Alex Carey.png?v=1,32,3,3,1,14*,16.00,29,110.34,0,0,0,1
Murali Vijay,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,32,3,3,0,21,10.66,43,74.41,0,0,4,0
Chris Jordan,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,29,9,5,2,13,9.66,31,93.54,0,0,2,0
Navdeep Saini,RCB,https://scores.iplt20.com/ipl/playerimages/Navdeep Saini.png?v=1,27,13,3,2,12*,27.00,27,100.00,0,0,3,0
Nathan Coulter-Nile,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,25,7,2,1,24*,25.00,15,166.66,0,0,4,0
Kamlesh Nagarkoti,KKR,https://scores.iplt20.com/ipl/playerimages/Kamlesh Nagarkoti.png?v=1,22,10,6,3,8*,7.33,31,70.96,0,0,1,0
Harshal Patel,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,21,5,2,0,16,10.50,24,87.50,0,0,2,0
Tushar Deshpande,DC,https://scores.iplt20.com/ipl/playerimages/Tushar Deshpande.png?v=1,21,5,2,1,20*,21.00,12,175.00,0,0,2,1
Jimmy Neesham,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,19,5,3,1,10*,9.50,18,105.55,0,0,0,1
Tom Banton,KKR,https://scores.iplt20.com/ipl/playerimages/Tom Banton.png?v=1,18,2,2,0,10,9.00,20,90.00,0,0,1,1
Mohammed Siraj,RCB,https://scores.iplt20.com/ipl/playerimages/Mohammed Siraj.png?v=1,17,9,3,2,10*,17.00,14,121.42,0,0,2,0
